Date,Temperature_C,pH,Dissolved_Oxygen_mg_L,Ammonia_mg_L,Nitrate_mg_L,Turbidity_NTU,Feed_Intake_Percent,Growth_Rate_g_week,Mortality_Count_per_day,Disease_Outbreak
2022-02-17,28.11,6.9,4.14,0.74,19.91,31.53,75.0,2.09,3,0
2022-02-18,26.69,7.19,8.71,1.11,16.72,55.32,86.4,1.06,9,1
2022-02-19,22.47,6.7,8.57,1.48,21.55,71.33,98.0,1.49,18,1
2022-02-20,26.65,7.04,5.56,0.42,28.25,16.21,59.4,1.29,17,0
2022-02-21,25.23,6.92,7.09,0.34,11.33,11.8,69.4,0.87,4,0
2022-02-22,24.65,7.58,7.24,0.01,13.42,68.06,75.7,1.64,18,0
2022-02-23,27.22,7.13,6.89,0.01,16.96,45.84,68.2,2.5,15,1
2022-02-24,28.06,7.17,5.67,0.32,6.54,26.98,100.0,0.76,0,0
2022-02-25,27.86,6.79,5.49,0.79,11.81,48.02,67.1,1.49,11,1
2022-02-26,24.32,6.76,6.46,1.23,15.24,2.0,71.7,1.76,1,1
2022-02-27,25.38,6.78,8.26,0.01,28.74,40.05,83.1,1.55,7,0
2022-02-28,26.66,7.2,7.32,1.69,22.63,44.92,62.0,1.45,17,0
2022-03-01,27.95,6.79,5.94,0.28,21.94,53.86,74.1,0.98,15,0
2022-03-02,25.04,7.14,7.66,0.48,28.51,24.79,84.8,1.59,4,0
2022-03-03,25.63,8.04,2.23,0.01,18.63,41.29,75.0,1.2,12,1
2022-03-04,23.79,7.44,8.22,0.01,23.9,26.12,78.6,0.62,18,1
2022-03-05,23.61,6.84,3.89,1.21,18.97,43.83,72.1,1.98,2,1
2022-03-06,27.63,7.6,5.96,1.09,22.65,26.57,57.3,1.88,7,0
2022-03-07,28.71,6.8,4.82,0.27,14.17,33.88,84.8,1.52,11,0
2022-03-08,25.86,5.98,4.56,0.55,0.0,25.06,100.0,1.59,1,0
2022-03-09,28.01,6.5,8.24,0.91,18.66,49.77,80.3,1.93,10,0
2022-03-10,26.72,6.06,5.8,0.01,34.23,52.88,83.4,1.59,11,1
2022-03-11,24.71,6.82,7.02,0.08,29.26,36.48,90.4,1.86,17,1
2022-03-12,26.72,7.01,6.43,1.14,29.65,40.57,61.0,1.38,12,0
2022-03-13,29.08,7.84,7.22,0.01,32.36,18.27,100.0,2.02,4,0
2022-03-14,25.93,7.16,6.62,0.73,20.89,35.5,83.0,1.63,11,0
2022-03-15,29.13,6.89,4.58,0.01,21.97,39.25,100.0,1.58,1,0
2022-03-16,20.76,7.41,7.99,0.87,13.82,79.31,69.0,0.99,4,0
2022-03-17,27.64,5.89,5.76,0.47,16.84,23.32,100.0,1.61,6,1
2022-03-18,26.17,7.12,4.17,0.01,26.16,61.96,91.6,1.17,11,0
2022-03-19,25.4,7.39,5.86,1.43,32.04,54.95,88.3,1.24,15,1
2022-03-20,26.18,6.26,8.75,0.01,18.61,44.21,83.5,1.17,7,0
2022-03-21,22.02,7.57,7.78,0.01,15.5,66.38,76.3,1.07,8,0
2022-03-22,25.56,7.17,5.98,0.66,20.01,45.58,98.0,2.35,14,0
2022-03-23,26.71,6.79,5.98,1.42,26.01,45.84,82.1,2.03,4,0
2022-03-24,28.96,7.32,6.02,0.01,5.56,39.2,50.5,2.27,12,0
2022-03-25,24.96,8.14,9.62,0.55,0.0,58.35,63.2,1.01,4,0
2022-03-26,24.38,7.09,7.07,0.84,14.49,56.45,77.2,1.53,10,0
2022-03-27,25.0,7.12,7.15,1.05,7.79,30.61,84.6,0.98,9,1
2022-03-28,27.83,6.77,8.05,0.64,14.92,20.21,79.2,1.22,19,1
2022-03-29,26.66,6.58,6.86,0.21,18.52,36.96,98.3,1.13,12,0
2022-03-30,24.94,7.42,6.11,0.01,15.47,28.0,50.7,2.0,8,0
2022-03-31,27.03,6.57,6.21,0.57,34.52,39.05,82.2,1.34,13,0
2022-04-01,26.19,7.04,6.39,0.01,23.27,58.56,52.7,1.93,17,0
2022-04-02,27.94,6.76,6.44,0.01,23.0,33.14,91.4,1.74,14,0
2022-04-03,24.6,7.24,7.59,0.85,26.22,39.36,78.6,2.42,9,0
2022-04-04,25.34,7.17,6.58,1.22,8.61,40.87,86.3,0.91,6,0
2022-04-05,25.22,7.52,7.6,0.01,30.39,52.73,67.0,2.0,7,0
2022-04-06,23.07,6.74,6.38,0.01,19.24,6.3,99.2,1.96,2,0
2022-04-07,26.59,6.87,6.62,1.0,26.7,30.9,95.6,1.11,14,0
2022-04-08,26.52,6.51,3.5,2.15,9.28,43.17,88.8,1.9,15,0
2022-04-09,26.01,6.78,7.87,0.52,4.46,58.0,78.1,1.63,3,0
2022-04-10,25.53,7.19,7.02,0.01,28.18,32.62,88.7,1.41,5,0
2022-04-11,23.17,7.38,8.0,0.35,23.76,11.85,69.4,1.17,0,0
2022-04-12,25.16,6.54,2.16,1.6,10.98,49.3,92.8,1.21,3,1
2022-04-13,25.31,7.43,9.63,0.01,11.3,30.47,100.0,2.32,10,0
2022-04-14,24.4,7.68,6.29,0.01,31.25,22.16,96.1,1.5,11,0
2022-04-15,25.68,7.21,8.16,0.11,8.11,30.63,69.1,1.81,4,0
2022-04-16,26.81,7.94,4.94,0.01,36.43,37.23,85.4,1.18,15,0
2022-04-17,29.77,6.61,7.42,0.6,10.99,30.93,60.6,1.19,12,1
2022-04-18,26.35,6.38,4.92,1.8,26.38,6.92,88.6,1.93,12,1
2022-04-19,26.52,6.11,5.56,0.76,16.71,53.46,86.8,0.96,16,0
2022-04-20,25.85,7.75,9.37,0.3,26.03,59.12,52.0,1.33,6,0
2022-04-21,22.16,7.33,6.21,0.27,14.56,49.77,62.6,1.51,7,0
2022-04-22,25.95,6.97,6.83,0.01,18.37,22.93,75.8,1.54,12,0
2022-04-23,26.12,7.14,7.81,1.21,20.41,36.98,75.5,1.43,15,0
2022-04-24,30.93,6.44,7.24,0.44,9.98,39.9,61.9,1.66,3,1
2022-04-25,25.62,8.22,6.73,0.36,27.41,48.98,85.8,1.78,7,0
2022-04-26,26.6,7.06,7.05,3.05,14.87,50.03,83.8,1.79,15,1
2022-04-27,25.93,7.05,10.0,0.74,17.71,28.99,77.1,1.11,9,0
2022-04-28,23.66,7.36,6.41,0.01,10.06,41.23,68.7,1.39,11,0
2022-04-29,28.29,7.24,6.8,0.16,0.0,46.86,95.7,1.98,11,0
2022-04-30,27.5,7.11,8.08,1.42,18.09,61.84,100.0,1.86,4,1
2022-05-01,27.58,6.6,8.16,0.59,44.13,50.57,72.7,0.95,15,0
2022-05-02,24.18,7.24,8.28,0.01,27.85,51.84,70.8,1.64,0,0
2022-05-03,28.81,7.94,7.46,1.24,19.81,41.26,87.4,0.71,8,0
2022-05-04,23.2,7.67,4.79,0.01,17.37,61.16,74.6,1.52,11,0
2022-05-05,27.17,7.8,8.95,2.0,20.22,46.15,77.9,2.26,4,1
2022-05-06,30.38,6.74,4.78,1.36,25.47,27.08,91.1,1.12,19,1
2022-05-07,24.02,6.51,6.95,0.14,8.19,61.05,51.4,1.17,2,0
2022-05-08,24.87,6.94,5.37,1.52,31.14,50.47,99.8,1.81,4,1
2022-05-09,26.2,7.03,6.4,0.55,27.15,33.35,81.1,0.88,1,0
2022-05-10,24.99,7.55,6.99,1.18,27.18,32.81,73.8,1.25,13,0
2022-05-11,22.9,6.15,6.98,0.89,24.38,44.45,78.7,1.74,1,0
2022-05-12,26.14,7.76,7.13,0.01,20.2,46.95,79.4,1.25,12,0
2022-05-13,23.88,6.92,8.92,0.01,26.73,42.96,54.0,1.41,6,0
2022-05-14,26.95,6.79,7.18,1.32,25.92,44.67,100.0,1.8,9,0
2022-05-15,24.16,6.49,6.13,0.23,16.46,65.5,80.6,1.67,12,0
2022-05-16,29.1,6.17,7.95,0.18,14.26,56.07,86.6,1.61,15,1
2022-05-17,24.43,7.41,8.28,0.01,21.02,42.86,94.3,1.36,13,1
2022-05-18,25.36,7.04,4.66,0.84,35.49,54.12,64.7,1.65,10,0
2022-05-19,27.63,6.36,7.4,2.15,7.61,24.51,87.1,1.45,9,0
2022-05-20,23.54,6.35,7.55,0.01,5.32,45.97,76.0,1.68,5,0
2022-05-21,26.45,6.83,6.05,0.52,21.65,67.14,92.7,1.3,3,1
2022-05-22,28.61,7.83,8.56,1.63,20.51,36.73,48.1,1.43,0,1
2022-05-23,22.79,6.87,6.27,0.44,21.73,27.29,78.5,1.1,6,0
2022-05-24,26.37,6.25,6.69,0.86,22.44,30.22,71.0,1.49,8,0
2022-05-25,26.52,6.88,6.24,0.01,17.77,23.66,86.5,1.18,7,0
2022-05-26,27.56,6.86,6.52,0.84,34.9,28.23,87.1,1.05,4,1
2022-05-27,23.53,5.65,4.86,0.35,3.99,34.44,69.4,1.6,18,1
2022-05-28,23.36,6.97,4.34,1.29,11.72,18.92,69.3,1.59,9,0
2022-05-29,27.04,6.88,8.89,1.45,18.97,40.23,78.3,1.81,10,1
2022-05-30,26.59,7.35,5.23,2.57,3.57,53.53,66.6,1.33,14,1
2022-05-31,26.5,7.92,5.01,0.96,18.24,26.38,92.6,1.66,5,0
2022-06-01,26.69,7.56,3.27,0.76,36.61,62.79,74.5,1.72,14,0
2022-06-02,24.64,6.87,5.54,0.66,20.21,47.66,36.4,1.68,4,0
2022-06-03,26.46,6.45,4.52,0.22,22.31,55.46,74.4,1.17,18,0
2022-06-04,26.59,8.29,8.96,0.77,7.4,30.13,64.4,1.56,18,0
2022-06-05,24.57,7.03,8.01,0.26,13.84,52.82,55.5,1.65,9,0
2022-06-06,29.73,7.01,5.47,0.63,16.25,23.62,61.4,1.5,11,0
2022-06-07,26.95,6.99,9.88,1.55,16.82,53.35,81.6,0.67,3,1
2022-06-08,23.62,7.1,7.97,0.01,32.82,42.58,99.9,1.56,17,1
2022-06-09,27.31,6.93,6.01,1.41,25.58,48.3,84.7,2.39,15,0
2022-06-10,24.05,6.71,2.75,1.55,8.89,22.37,70.9,1.36,7,1
2022-06-11,27.57,6.73,9.94,0.41,22.47,26.57,86.8,1.21,3,0
2022-06-12,28.32,6.98,4.42,0.01,24.98,48.96,73.1,1.65,11,0
2022-06-13,24.36,6.73,4.03,0.01,31.4,25.77,69.6,1.62,1,0
2022-06-14,27.93,6.64,8.03,1.54,35.81,46.95,62.7,1.98,3,0
2022-06-15,26.83,7.05,10.0,0.48,9.85,19.49,53.7,1.0,4,0
2022-06-16,27.64,6.87,8.58,0.01,11.89,52.72,74.2,1.79,2,0
2022-06-17,29.79,7.75,7.35,0.1,7.42,21.51,82.4,1.74,8,0
2022-06-18,25.51,5.67,7.39,1.17,17.66,48.28,78.6,1.44,17,1
2022-06-19,24.49,7.55,7.78,0.94,24.66,49.38,73.8,1.64,10,0
2022-06-20,24.22,7.62,7.64,0.31,29.87,29.55,65.8,1.91,2,0
2022-06-21,24.37,5.96,6.92,0.21,19.24,48.73,89.1,1.85,1,1
2022-06-22,25.85,6.83,6.66,0.19,16.8,43.91,60.2,1.04,8,0
2022-06-23,26.68,6.81,6.41,0.01,21.52,31.92,91.6,1.83,13,1
2022-06-24,26.55,6.3,5.37,1.79,11.65,24.87,65.0,1.47,3,1
2022-06-25,27.65,6.61,6.08,0.24,40.9,10.56,68.7,1.53,8,0
2022-06-26,26.03,6.44,3.96,1.47,3.92,45.24,58.0,1.53,12,0
2022-06-27,28.91,7.88,6.35,1.72,21.85,16.53,72.5,1.44,17,1
2022-06-28,25.47,7.47,5.02,1.3,40.24,41.43,94.6,1.98,14,0
2022-06-29,31.44,7.64,4.84,0.15,20.07,36.05,87.7,1.47,9,1
2022-06-30,27.25,7.36,6.77,0.82,18.1,50.19,94.7,1.05,15,0
2022-07-01,24.29,6.44,8.59,0.48,16.43,35.47,87.8,1.34,11,0
2022-07-02,23.86,6.74,7.88,0.01,18.2,35.06,63.4,1.57,19,0
2022-07-03,26.96,7.24,4.14,0.76,33.73,50.98,75.0,1.99,4,0
2022-07-04,25.55,6.39,5.02,0.01,0.0,45.03,68.3,1.74,1,0
2022-07-05,27.43,7.36,7.91,1.45,35.33,44.74,100.0,1.16,9,0
2022-07-06,26.95,6.88,5.03,0.13,5.76,47.04,62.0,2.49,0,0
2022-07-07,25.85,6.81,6.16,0.66,17.33,16.97,93.4,1.61,6,0
2022-07-08,24.31,7.36,7.33,0.73,15.71,51.35,93.4,2.01,16,0
2022-07-09,22.97,7.22,5.05,0.29,25.89,49.19,100.0,1.44,15,1
2022-07-10,25.11,6.82,6.66,0.97,4.02,24.75,73.9,1.71,2,0
2022-07-11,27.71,7.58,4.5,0.12,24.62,36.34,90.7,1.84,13,0
2022-07-12,26.43,6.46,5.6,1.2,40.24,39.41,100.0,1.99,9,1
2022-07-13,23.51,7.31,6.98,0.01,6.37,37.98,70.7,1.92,6,0
2022-07-14,26.35,7.3,4.11,0.6,21.9,45.01,57.0,1.85,16,1
2022-07-15,26.77,6.85,7.16,2.05,13.38,61.47,51.8,1.37,5,0
2022-07-16,24.23,7.16,6.47,0.01,24.26,56.23,90.7,1.27,3,0
2022-07-17,26.31,6.37,7.33,0.01,20.19,20.32,51.8,1.63,16,1
2022-07-18,26.12,7.46,6.84,0.91,13.59,49.33,74.4,1.87,8,0
2022-07-19,23.71,6.91,8.55,0.64,24.88,59.93,86.6,1.41,3,0
2022-07-20,26.72,6.74,6.69,0.78,38.04,45.8,82.8,1.93,6,0
2022-07-21,27.12,7.52,5.86,0.89,18.09,56.36,86.4,2.08,1,0
2022-07-22,28.17,6.65,6.68,1.01,27.2,70.18,83.3,1.13,16,0
2022-07-23,28.11,6.3,7.31,1.39,7.07,55.36,99.2,1.17,7,1
2022-07-24,23.24,6.22,6.57,0.83,10.44,43.74,65.7,1.44,14,0
2022-07-25,24.12,7.3,6.56,0.31,24.72,55.68,69.8,1.62,14,0
2022-07-26,27.03,6.36,5.45,1.04,34.84,42.17,68.4,1.29,7,1
2022-07-27,27.03,7.88,5.51,2.02,23.56,40.36,92.5,2.04,15,0
2022-07-28,27.03,5.96,4.4,0.39,16.87,34.73,93.5,1.67,18,1
2022-07-29,33.71,7.85,9.12,0.01,19.99,63.45,86.8,1.52,10,0
2022-07-30,27.14,7.11,4.63,1.39,7.5,27.72,97.8,0.93,1,1
2022-07-31,28.27,6.95,5.46,0.4,26.05,62.99,62.3,0.97,16,1
2022-08-01,27.91,6.73,5.42,0.01,28.82,47.5,100.0,1.61,15,0
2022-08-02,27.3,7.2,7.84,1.18,15.48,19.01,100.0,0.65,14,1
2022-08-03,25.37,6.98,6.06,0.07,15.3,45.51,91.0,1.91,12,0
2022-08-04,27.52,7.55,8.37,0.43,22.66,8.5,100.0,1.44,14,0
2022-08-05,24.45,7.06,5.49,0.77,15.63,49.38,55.2,2.8,3,0
2022-08-06,25.53,7.08,6.92,0.65,19.34,53.28,72.1,2.42,15,0
2022-08-07,25.03,6.82,5.25,1.07,41.0,31.11,69.0,1.43,11,1
2022-08-08,26.16,6.97,9.72,0.15,17.53,41.85,90.8,1.46,3,0
2022-08-09,30.63,7.15,4.72,0.91,16.42,69.31,64.2,1.9,2,0
2022-08-10,22.27,6.14,6.96,0.29,13.52,32.41,91.4,2.18,16,1
2022-08-11,27.37,6.33,7.45,1.09,27.44,24.12,100.0,0.84,17,1
2022-08-12,22.77,7.37,7.12,0.99,18.19,62.22,90.4,0.79,17,1
2022-08-13,25.06,7.09,6.22,0.01,13.51,69.44,84.3,1.25,16,0
2022-08-14,28.18,6.91,6.31,1.37,33.21,40.06,65.2,1.73,11,1
2022-08-15,26.13,7.01,6.57,0.07,34.2,55.17,67.3,1.7,3,0
2022-08-16,23.84,7.17,6.28,1.15,14.0,60.12,98.7,1.93,11,0
2022-08-17,24.57,6.73,7.95,0.79,1.33,28.86,91.7,1.02,19,1
2022-08-18,27.36,6.61,9.82,1.97,30.08,32.72,79.4,0.57,14,0
2022-08-19,24.54,7.1,5.66,0.32,13.15,58.46,73.7,1.84,15,0
2022-08-20,26.43,6.51,4.45,0.22,27.91,65.28,49.6,1.17,4,1
2022-08-21,26.09,7.2,6.37,0.48,0.3,48.44,63.9,0.69,14,0
2022-08-22,24.7,6.15,10.0,0.26,28.93,26.8,100.0,1.56,16,0
2022-08-23,30.29,7.51,5.29,1.14,7.89,69.81,60.8,1.82,17,1
2022-08-24,27.27,7.24,8.96,0.01,27.31,32.04,82.8,1.45,4,0
2022-08-25,21.95,7.13,9.02,0.01,20.14,34.97,95.1,1.32,12,0
2022-08-26,26.37,7.49,5.67,0.01,10.46,45.14,61.2,1.44,18,0
2022-08-27,24.68,7.83,7.35,1.26,15.93,63.31,82.8,1.35,12,0
2022-08-28,27.7,7.51,8.94,1.87,26.86,52.81,94.1,0.96,17,1
2022-08-29,24.41,6.08,5.93,0.42,21.06,46.22,80.2,1.21,13,0
2022-08-30,25.77,6.36,6.19,0.36,25.84,46.95,100.0,1.71,3,0
2022-08-31,27.01,6.69,5.63,0.56,39.76,40.65,55.0,1.63,3,0
2022-09-01,27.73,7.01,4.98,1.43,4.36,48.37,95.9,1.57,19,1
2022-09-02,23.6,7.26,5.53,0.01,36.17,2.06,77.4,1.1,19,0
2022-09-03,25.33,6.64,4.66,0.69,21.04,35.55,91.6,1.43,18,0
2022-09-04,25.05,7.09,6.55,1.28,11.01,43.62,86.6,0.63,12,1
2022-09-05,24.69,6.62,5.35,0.9,6.7,22.73,69.0,1.57,11,0
2022-09-06,29.53,6.69,6.85,0.65,18.11,45.79,83.4,2.07,6,0
2022-09-07,26.81,6.3,4.17,1.3,29.22,36.93,52.1,0.91,11,1
2022-09-08,23.48,6.54,7.0,0.01,18.72,66.33,89.0,1.27,3,0
2022-09-09,27.84,6.32,7.75,1.04,35.11,63.6,84.5,1.63,1,1
2022-09-10,30.24,6.51,3.51,0.01,5.49,33.01,89.6,2.0,1,1
2022-09-11,28.06,7.53,7.06,0.01,19.88,37.74,95.9,1.32,4,0
2022-09-12,22.96,6.53,8.34,0.91,7.48,38.89,85.5,1.22,9,0
2022-09-13,25.03,8.32,4.69,1.6,23.64,33.23,82.2,0.71,9,1
2022-09-14,28.53,7.25,9.01,0.39,28.87,42.93,66.8,1.54,8,0
2022-09-15,24.58,7.09,7.13,1.26,15.79,28.63,69.3,2.32,12,0
2022-09-16,26.89,6.57,5.44,1.79,0.0,23.04,97.8,1.61,6,0
2022-09-17,27.55,7.35,6.42,1.55,21.99,49.34,100.0,1.49,4,1
2022-09-18,24.15,6.71,7.34,1.81,24.37,49.44,76.4,1.63,9,0
2022-09-19,25.88,7.06,6.61,1.09,24.04,27.94,80.7,1.5,9,1
2022-09-20,19.52,8.28,7.31,0.56,32.36,53.43,66.4,1.17,5,0
2022-09-21,23.95,6.95,5.12,0.01,9.29,30.53,97.6,1.83,18,1
2022-09-22,25.49,7.57,6.75,0.3,26.8,43.8,90.0,1.59,7,0
2022-09-23,23.5,6.65,4.38,0.01,31.93,52.31,100.0,1.51,0,0
2022-09-24,29.26,6.98,6.33,2.24,2.21,39.5,66.8,1.11,16,1
2022-09-25,23.14,7.89,5.14,0.36,23.2,46.82,74.3,2.02,6,0
2022-09-26,25.12,6.69,5.4,0.6,14.96,32.25,83.5,1.77,13,0
2022-09-27,26.26,7.91,8.35,0.94,19.18,37.05,89.7,1.28,16,1
2022-09-28,28.88,7.35,8.14,0.53,23.48,36.91,76.8,1.9,8,0
2022-09-29,23.13,6.72,7.41,1.86,15.13,28.8,66.9,1.3,16,1
2022-09-30,28.33,7.32,4.86,0.01,13.24,37.35,93.2,1.19,4,0
2022-10-01,26.02,7.49,6.03,0.66,20.34,16.77,90.8,1.2,19,1
2022-10-02,24.04,7.31,8.32,0.01,9.13,32.63,66.3,0.79,7,1
2022-10-03,26.92,6.21,6.71,0.01,9.14,35.73,100.0,1.69,5,1
2022-10-04,26.4,6.64,9.98,0.01,26.79,36.16,97.6,0.77,10,1
2022-10-05,24.8,6.88,7.09,0.47,8.51,36.38,82.0,1.01,18,0
2022-10-06,26.14,6.96,6.79,0.16,26.66,39.07,81.2,0.67,3,0
2022-10-07,25.23,7.31,6.04,0.01,24.63,47.19,88.3,1.47,17,1
2022-10-08,26.23,7.09,6.7,0.01,2.74,53.12,67.1,1.44,0,0
2022-10-09,27.32,6.33,6.27,0.43,13.22,30.25,80.5,1.37,12,1
2022-10-10,29.17,7.19,7.56,0.01,31.94,21.95,47.7,1.08,13,1
2022-10-11,23.52,7.31,7.94,1.11,10.19,24.37,93.1,1.03,0,1
2022-10-12,30.27,7.28,5.32,0.57,15.36,32.69,56.6,1.69,10,0
2022-10-13,22.1,7.54,4.5,0.01,24.62,34.72,100.0,1.28,16,0
2022-10-14,25.7,7.42,3.75,0.25,27.83,28.45,75.0,1.63,3,0
2022-10-15,27.18,7.23,7.26,0.01,17.48,20.56,76.8,1.15,11,0
2022-10-16,26.56,6.96,4.84,0.76,14.02,33.16,70.6,1.57,9,0
2022-10-17,24.75,6.17,3.27,1.57,34.22,42.72,75.7,2.02,5,1
2022-10-18,25.58,7.21,7.08,0.01,37.39,48.93,100.0,1.73,0,0
2022-10-19,25.01,7.1,10.0,0.59,29.79,31.64,42.7,1.34,6,0
2022-10-20,24.82,7.14,6.49,0.37,20.85,33.81,99.2,1.6,15,0
2022-10-21,27.7,6.36,7.76,1.04,11.92,26.1,85.1,1.4,13,1
2022-10-22,26.71,6.46,6.62,0.67,11.7,39.53,61.9,1.5,19,0
2022-10-23,24.61,7.53,6.35,0.01,25.23,27.27,63.9,1.37,19,1
2022-10-24,27.8,6.98,7.88,0.24,24.18,48.6,100.0,1.43,5,0
2022-10-25,26.61,7.34,6.06,0.01,34.02,13.21,65.8,1.58,4,0
2022-10-26,27.63,7.01,6.9,1.36,26.5,34.61,62.7,1.1,17,1
2022-10-27,27.26,7.01,6.98,0.52,4.97,44.52,97.1,1.09,14,0
2022-10-28,24.34,7.47,5.5,2.02,30.52,42.76,85.1,0.94,5,0
2022-10-29,24.88,6.74,7.99,0.45,10.02,80.4,65.9,0.86,18,0
2022-10-30,27.49,7.05,6.24,0.01,16.16,45.25,83.2,1.01,0,0
2022-10-31,27.22,6.77,5.37,0.01,22.5,24.94,64.6,1.56,0,0
2022-11-01,25.96,6.78,7.3,0.01,39.96,38.57,96.5,1.14,12,0
2022-11-02,26.23,6.85,5.15,0.01,51.1,13.36,95.9,1.71,2,0
2022-11-03,28.56,7.11,6.54,0.71,26.07,38.79,88.0,1.51,9,0
2022-11-04,24.82,6.76,6.49,0.91,18.17,27.5,85.4,0.71,2,0
2022-11-05,27.09,7.63,8.13,0.01,25.35,53.73,100.0,1.76,8,0
2022-11-06,25.6,6.55,7.21,1.22,28.88,31.76,80.0,1.82,7,0
2022-11-07,25.56,6.91,6.46,0.11,16.79,38.25,62.3,1.1,2,0
2022-11-08,28.2,6.78,7.73,0.62,37.95,30.47,86.7,1.67,12,0
2022-11-09,27.65,7.72,8.59,1.79,22.3,66.08,100.0,1.16,5,0
2022-11-10,27.63,7.1,7.34,1.22,24.98,35.18,64.8,1.54,12,1
2022-11-11,28.61,7.52,6.52,0.29,26.66,67.49,74.6,0.99,19,1
2022-11-12,26.04,6.26,4.53,0.01,24.22,52.21,86.2,0.78,19,1
2022-11-13,27.36,7.13,4.9,0.01,28.39,47.23,79.2,1.35,11,1
2022-11-14,25.38,7.44,6.04,0.01,13.83,45.53,65.3,1.45,12,0
2022-11-15,26.65,7.04,5.59,0.33,14.42,45.91,96.8,1.34,1,0
2022-11-16,25.74,7.53,6.22,0.01,9.0,11.08,100.0,1.03,15,0
